,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,2.433689594268799,7.192132568359398,170.94317214018153
1,1,2014,1,1,1,30,0,0,0,2.3208768367767334,7.086968994140648,172.7518014728385
2,2,2014,1,1,2,30,0,0,0,2.2030067443847656,7.003839111328148,160.25516104145106
3,3,2014,1,1,3,30,0,0,0,2.0736083984375,6.917138671875023,146.99054101852522
4,4,2014,1,1,4,30,0,0,0,2.02112889289856,6.688317871093773,133.7185513679171
5,5,2014,1,1,5,30,0,0,0,2.0788397789001465,6.256982421875023,120.58745618760253
6,6,2014,1,1,6,30,0,0,0,2.244861602783203,5.641259765625023,107.71002524394129
7,7,2014,1,1,7,30,0,0,0,2.48690128326416,5.573052978515649,95.22642776691984
8,8,2014,1,1,8,30,96,28,586,2.563417911529541,7.183251953125023,83.33997598837523
9,9,2014,1,1,9,30,149,125,77,2.3755416870117188,10.6540466308594,72.37054783846526
10,10,2014,1,1,10,30,492,56,955,2.196422815322876,14.202355957031276,62.81494183820941
11,11,2014,1,1,11,30,631,61,1004,2.090515613555908,16.638482666015648,55.42390694536443
12,12,2014,1,1,12,30,708,64,1026,1.9502346515655518,18.294671630859398,51.15422657618188
13,13,2014,1,1,13,30,714,64,1029,1.7644612789154053,19.150170898437523,50.80401161092065
14,14,2014,1,1,14,30,650,62,1011,1.6301615238189695,19.11754760742189,54.44937035042214
15,15,2014,1,1,15,30,521,57,968,1.669445514678955,18.145501708984398,61.379270582034295
16,16,2014,1,1,16,30,339,48,876,1.8639401197433472,16.094232177734398,70.62728898462113
17,17,2014,1,1,17,30,130,32,654,2.1445875167846684,13.500390625000026,81.39826931833466
18,18,2014,1,1,18,30,0,0,0,2.3437206745147705,11.904718017578151,93.15593742871107
19,19,2014,1,1,19,30,0,0,0,2.3434669971466064,11.321649169921901,105.55549839740908
20,20,2014,1,1,20,30,0,0,0,2.1720514297485347,11.103540039062525,118.378064851214
21,21,2014,1,1,21,30,0,0,0,1.8966655731201167,11.288354492187526,131.47497737156831
22,22,2014,1,1,22,30,0,0,0,1.658348560333252,11.217523193359401,144.730881314687
23,23,2014,1,1,23,30,0,0,0,1.5220134258270264,10.749383544921901,158.010553990832
24,24,2014,1,2,0,30,0,0,0,1.426114559173584,10.273034667968775,170.80633412396548
25,25,2014,1,2,1,30,0,0,0,1.3553980588912964,9.77678833007815,172.7786132509319
26,26,2014,1,2,2,30,0,0,0,1.4956910610198977,9.235986328125025,160.33136827757244
27,27,2014,1,2,3,30,0,0,0,1.9152812957763672,8.373437500000023,147.0708796286285
28,28,2014,1,2,4,30,0,0,0,2.3832545280456543,7.132440185546898,133.79635556966534
29,29,2014,1,2,5,30,0,0,0,2.714843988418579,5.974847412109398,120.65980914232522
30,30,2014,1,2,6,30,0,0,0,2.8825464248657227,5.111657714843774,107.7745892244277
31,31,2014,1,2,7,30,0,0,0,2.9131746292114262,5.032922363281274,95.28058949382412
32,32,2014,1,2,8,30,96,28,589,2.7488999366760254,6.444787597656273,83.38033048133214
33,33,2014,1,2,9,30,305,46,856,2.8061232566833496,9.530480957031275,72.39249699713461
34,34,2014,1,2,10,30,494,56,959,3.254560947418213,13.013635253906276,62.812379933032744
35,35,2014,1,2,11,30,633,61,1007,3.608788013458252,15.603265380859401,55.38999048641699
36,36,2014,1,2,12,30,709,64,1027,3.77691102027893,17.210656738281273,51.084535613743384
37,37,2014,1,2,13,30,715,64,1028,3.8908753395080566,17.812982177734398,50.70139008292987
38,38,2014,1,2,14,30,651,62,1010,3.904068946838379,17.576135253906273,54.32407536548835
39,39,2014,1,2,15,30,522,57,966,3.781708240509033,16.619378662109398,61.24260559572436
40,40,2014,1,2,16,30,341,48,876,3.600177764892578,14.724786376953151,70.4869611534596
41,41,2014,1,2,17,30,133,32,659,3.5462698936462402,12.212060546875026,81.25834440234469
42,42,2014,1,2,18,30,0,0,0,3.7271573543548575,10.463037109375025,93.01823493803509
43,43,2014,1,2,19,30,0,0,0,3.97114610671997,9.50945434570315,105.42069537819685
44,44,2014,1,2,20,30,0,0,0,4.268954277038573,8.517694091796898,118.24621317059716
45,45,2014,1,2,21,30,0,0,0,4.6170387268066415,7.457482910156273,131.34567255770742
46,46,2014,1,2,22,30,0,0,0,4.83723258972168,6.369683837890648,144.60305486602624
47,47,2014,1,2,23,30,0,0,0,4.861967086791992,5.314599609375024,157.88134096594018
48,48,2014,1,3,0,30,0,0,0,4.750870227813722,4.349542236328149,170.66651831164052
49,49,2014,1,3,1,30,0,0,0,4.576927661895752,3.5087829589843977,172.79699989790458
50,50,2014,1,3,2,30,0,0,0,4.336859226226807,2.8074890136718977,160.4034410252631
51,51,2014,1,3,3,30,0,0,0,4.0313825607299805,2.2717529296875227,147.14767195670072
52,52,2014,1,3,4,30,0,0,0,3.746856689453125,1.9089294433593973,133.8705991571249
53,53,2014,1,3,5,30,0,0,0,3.544182538986206,1.6977172851562727,120.72837241133499
54,54,2014,1,3,6,30,0,0,0,3.4204070568084717,1.6043029785156475,107.8350112732792
55,55,2014,1,3,7,30,0,0,0,3.3147196769714355,2.3576293945312727,95.33015905451036
56,56,2014,1,3,8,30,94,27,578,3.062794208526612,4.843225097656274,83.41555590326399
57,57,2014,1,3,9,30,301,46,844,3.0031948089599614,8.8278747558594,72.40868616225882
58,58,2014,1,3,10,30,487,55,946,3.08601188659668,12.909722900390651,62.80337861818594
59,59,2014,1,3,11,30,625,60,993,2.8917348384857178,16.310021972656273,55.349014308551396
60,60,2014,1,3,12,30,701,63,1013,2.51835298538208,19.207482910156273,51.007457196042175
61,61,2014,1,3,13,30,707,63,1014,2.0062975883483887,21.238610839843773,50.59161329457369
62,62,2014,1,3,14,30,644,61,996,1.4195948839187622,22.015924072265648,54.19243572995574
63,63,2014,1,3,15,30,517,56,953,0.9383218288421632,21.457269287109398,61.10069195257656
64,64,2014,1,3,16,30,338,48,862,1.1126301288604736,19.417718505859398,70.34246969938768
65,65,2014,1,3,17,30,132,32,645,2.0488958358764653,16.480004882812526,81.11520370796092
66,66,2014,1,3,18,30,0,0,0,2.8411283493041988,14.205377197265651,92.8780567764641
67,67,2014,1,3,19,30,0,0,0,3.001794815063477,12.738702392578151,105.28402898338902
68,68,2014,1,3,20,30,0,0,0,2.758230686187744,11.576226806640651,118.11297358183462
69,69,2014,1,3,21,30,0,0,0,2.420227527618408,10.954949951171901,131.21531686406007
70,70,2014,1,3,22,30,0,0,0,2.4652996063232417,10.626245117187525,144.47432936427768
71,71,2014,1,3,23,30,0,0,0,3.0478339195251465,10.15239868164065,157.75099669975796
72,72,2014,1,4,0,30,0,0,0,3.718927145004273,9.45269165039065,170.52378237096042
73,73,2014,1,4,1,30,0,0,0,4.099172592163087,8.620599365234398,172.80661211957099
74,74,2014,1,4,2,30,0,0,0,4.1901445388793945,7.788293457031273,160.4711674860007
75,75,2014,1,4,3,30,0,0,0,4.109872817993163,7.021020507812523,147.22076334599973
76,76,2014,1,4,4,30,0,0,0,3.95162296295166,6.234979248046898,133.94115550864984
77,77,2014,1,4,5,30,0,0,0,3.852172136306762,5.533258056640649,120.79303906203224
78,78,2014,1,4,6,30,0,0,0,3.8321046829223633,5.193597412109399,107.89120154323132
79,79,2014,1,4,7,30,0,0,0,3.747730255126953,5.849908447265648,95.37506346387072
80,80,2014,1,4,8,30,36,36,0,3.530925750732422,7.761560058593773,83.44560924716608
81,81,2014,1,4,9,30,184,125,196,3.2309758663177486,10.339379882812525,72.41908137933613
82,82,2014,1,4,10,30,339,196,313,3.10532021522522,13.328668212890651,62.787920259367
83,83,2014,1,4,11,30,479,237,425,3.316945552825928,16.592492675781273,55.30098152851634
84,84,2014,1,4,12,30,405,316,142,3.556219577789306,19.009515380859398,50.92301318661693
85,85,2014,1,4,13,30,575,236,533,3.6568694114685054,20.052026367187523,50.47472191467239
86,86,2014,1,4,14,30,459,272,319,3.653641700744629,19.965753173828148,54.05451201548632
87,87,2014,1,4,15,30,334,224,226,3.5165097713470463,19.107263183593773,60.9536056520125
88,88,2014,1,4,16,30,213,143,205,3.404067039489746,17.702722167968773,70.19389556738457
89,89,2014,1,4,17,30,70,59,70,3.5306167602539062,15.734582519531276,80.96890950558453
90,90,2014,1,4,18,30,0,0,0,3.8220019340515137,14.165399169921901,92.73551120200605
91,91,2014,1,4,19,30,0,0,0,4.060850143432616,13.124505615234401,105.14560341036749
92,92,2014,1,4,20,30,0,0,0,4.337726593017578,12.149835205078151,117.97844314305848
93,93,2014,1,4,21,30,0,0,0,4.655317783355713,11.321374511718776,131.08399693517552
94,94,2014,1,4,22,30,0,0,0,4.770522594451903,10.5851989746094,144.34477635238846
95,95,2014,1,4,23,30,0,0,0,4.751860618591309,9.967675781250025,157.61956979726526
96,96,2014,1,5,0,30,0,0,0,4.708860397338867,9.461877441406275,170.37817197696353
97,97,2014,1,5,1,30,0,0,0,4.596719741821289,9.0026794433594,172.80711783658478
98,98,2014,1,5,2,30,0,0,0,4.35179615020752,8.593774414062523,160.53433280078272
99,99,2014,1,5,3,30,0,0,0,4.071797847747804,8.084832763671898,147.28999844469837
100,100,2014,1,5,4,30,0,0,0,3.904254198074341,7.432855224609398,134.00789874373655
101,101,2014,1,5,5,30,0,0,0,3.669895887374878,7.073083496093773,120.85370386816624
102,102,2014,1,5,6,30,0,0,0,3.317152500152588,7.112817382812523,107.94307261364426
103,103,2014,1,5,7,30,0,0,0,2.9764437675476074,7.594201660156273,95.41523272255866
104,104,2014,1,5,8,30,29,29,0,2.59451961517334,8.846276855468775,83.47041011879264
105,105,2014,1,5,9,30,198,120,260,2.177713394165039,10.923638916015651,72.42364227066871
106,106,2014,1,5,10,30,302,209,202,1.9316508769989007,13.289086914062526,62.765992912675685
107,107,2014,1,5,11,30,412,273,242,1.982844352722168,15.149987792968776,55.24590140076086
108,108,2014,1,5,12,30,498,300,312,2.1531114578247066,16.195275878906273,50.83123331923788
109,109,2014,1,5,13,30,539,284,399,2.230984926223755,16.480218505859398,50.35076814467582
110,110,2014,1,5,14,30,514,227,487,2.2110564708709717,16.174737548828148,53.910381258646794
111,111,2014,1,5,15,30,310,229,166,2.120877265930176,15.405419921875026,60.801445163462105
112,112,2014,1,5,16,30,172,144,79,2.081362009048462,14.166192626953151,70.04135045247156
113,113,2014,1,5,17,30,63,58,26,2.20283842086792,12.799462890625026,80.81958234892059
114,114,2014,1,5,18,30,0,0,0,2.3707749843597408,11.948419189453151,92.5907064414768
115,115,2014,1,5,19,30,0,0,0,2.5360107421875,11.494073486328151,105.00552189441788
116,116,2014,1,5,20,30,0,0,0,2.660706043243408,11.018731689453151,117.84271699809582
117,117,2014,1,5,21,30,0,0,0,2.624839305877685,10.4932800292969,130.95179645828156
118,118,2014,1,5,22,30,0,0,0,2.5301947593688965,9.89568481445315,144.21446312141217
119,119,2014,1,5,23,30,0,0,0,2.489134788513184,9.16716918945315,157.48710264251991
120,120,2014,1,6,0,30,0,0,0,2.515546560287476,8.319055175781273,170.22972172120132
121,121,2014,1,6,1,30,0,0,0,2.633441925048828,7.408563232421898,172.79820686443747
122,122,2014,1,6,2,30,0,0,0,2.7792325019836426,6.530236816406273,160.59271972182782
123,123,2014,1,6,3,30,0,0,0,2.8341875076293945,5.764276123046898,147.35522154446693
124,124,2014,1,6,4,30,0,0,0,2.776453971862793,5.139794921875024,134.07070396132698
125,125,2014,1,6,5,30,0,0,0,2.6597585678100586,4.687249755859399,120.91026349160113
126,126,2014,1,6,6,30,0,0,0,2.5584540367126465,4.404534912109399,107.99053962979237
127,127,2014,1,6,7,30,0,0,0,2.4821739196777344,4.538568115234399,95.45059991956393
128,128,2014,1,6,8,30,37,37,0,2.552351713180542,5.451287841796899,83.48989899825371
129,129,2014,1,6,9,30,16,16,0,2.7313060760498047,6.905541992187523,72.42233575114645
130,130,2014,1,6,10,30,109,109,0,2.739994764328003,8.378198242187523,62.737585224386606
131,131,2014,1,6,11,30,240,225,26,2.585379123687744,9.677941894531275,55.18378579013545
132,132,2014,1,6,12,30,240,229,17,2.4438581466674805,10.633203125000025,50.73215045020441
133,133,2014,1,6,13,30,222,213,12,2.409165620803833,10.955621337890651,50.219806051069355
134,134,2014,1,6,14,30,175,171,5,2.4610121250152592,10.630029296875025,53.76012055200111
135,135,2014,1,6,15,30,170,166,8,2.5518903732299805,9.8089538574219,60.64430685130426
136,136,2014,1,6,16,30,16,16,0,2.673146724700928,8.569207763671898,69.88494252497772
137,137,2014,1,6,17,30,34,34,0,2.8482239246368413,7.222161865234398,80.66733458616717
138,138,2014,1,6,18,30,0,0,0,3.048304319381714,6.173822021484398,92.44375057475264
139,139,2014,1,6,19,30,0,0,0,3.1326143741607666,5.320642089843774,104.86388660140899
140,140,2014,1,6,20,30,0,0,0,3.0505499839782715,4.520959472656274,117.7058882890515
141,141,2014,1,6,21,30,0,0,0,2.8906145095825195,3.897149658203148,130.8187961106223
142,142,2014,1,6,22,30,0,0,0,2.697089672088623,3.4644409179687727,144.08345272141594
143,143,2014,1,6,23,30,0,0,0,2.4852242469787598,3.1343933105468977,157.35363156260112
144,144,2014,1,7,0,30,0,0,0,2.294519186019897,2.8237548828125227,170.07845601013503
145,145,2014,1,7,1,30,0,0,0,2.1427812576293945,2.5544372558593977,172.7795953610592
146,146,2014,1,7,2,30,0,0,0,2.116760969161988,2.2829223632812727,160.64610933541255
147,147,2014,1,7,3,30,0,0,0,2.2237308025360107,1.9063049316406482,147.4162769326669
148,148,2014,1,7,4,30,0,0,0,2.332241535186768,1.5519042968750227,134.12944748201565
149,149,2014,1,7,5,30,0,0,0,2.378319263458252,1.3070007324218975,120.96261666384336
150,150,2014,1,7,6,30,0,0,0,2.393340349197388,1.1291442871093975,108.03352043980549
151,151,2014,1,7,7,30,0,0,0,2.39273452758789,1.6881347656250227,95.48110133124098
152,152,2014,1,7,8,30,90,27,557,2.3690648078918457,4.019281005859399,83.50406925679661
153,153,2014,1,7,9,30,129,118,34,2.4455430507659908,7.618829345703148,72.4151568427635
154,154,2014,1,7,10,30,151,149,3,2.6432223320007324,11.148126220703151,62.70270911380489
155,155,2014,1,7,11,30,237,223,24,2.683887958526612,14.167535400390651,55.11466425703282
156,156,2014,1,7,12,30,400,317,131,2.363453865051269,16.669580078125026,50.62581151417751
157,157,2014,1,7,13,30,462,321,218,1.9016491174697883,18.391320800781273,50.081902993992884
158,158,2014,1,7,14,30,653,60,998,1.5024735927581787,19.021783447265648,53.603821689585715
159,159,2014,1,7,15,30,528,56,958,1.3184629678726196,18.477441406250023,60.482305186031844
160,160,2014,1,7,16,30,351,48,874,1.7187447547912598,16.630487060546898,69.72480450844371
161,161,2014,1,7,17,30,144,33,671,2.6309971809387207,13.907556152343776,80.51232719592916
162,162,2014,1,7,18,30,0,0,0,3.333783864974976,11.760278320312526,92.29475142071907
163,163,2014,1,7,19,30,0,0,0,3.5353035926818848,10.393334960937525,104.72079852379505
164,164,2014,1,7,20,30,0,0,0,3.513568878173828,9.2147155761719,117.568048073829
165,165,2014,1,7,21,30,0,0,0,3.457751750946045,8.614404296875023,130.68507351337644
166,166,2014,1,7,22,30,0,0,0,3.5820505619049072,8.714685058593773,143.95180398029655
167,167,2014,1,7,23,30,0,0,0,4.088701248168944,8.9200378417969,157.21918699955646
168,168,2014,1,8,0,30,0,0,0,4.669724464416504,8.702996826171898,169.92438994692168
169,169,2014,1,8,1,30,0,0,0,4.870502471923828,8.116113281250023,172.75102988633012
170,170,2014,1,8,2,30,0,0,0,4.67296028137207,7.381616210937523,160.6942818338418
171,171,2014,1,8,3,30,0,0,0,4.335374832153319,6.587976074218773,147.47300925733367
172,172,2014,1,8,4,30,0,0,0,4.062188148498535,5.770654296875023,134.18400709333937
173,173,2014,1,8,5,30,0,0,0,3.883447408676148,5.342858886718774,121.0106643666863
174,174,2014,1,8,6,30,0,0,0,3.6960487365722656,5.403283691406274,108.07193572874708
175,175,2014,1,8,7,30,0,0,0,3.4165494441986084,6.068597412109398,95.50667651666464
176,176,2014,1,8,8,30,91,27,570,3.2215282917022705,8.057031250000023,83.51288867868541
177,177,2014,1,8,9,30,299,45,842,3.1628661155700684,11.643609619140651,72.4020798294178
178,178,2014,1,8,10,30,490,54,948,3.196019172668457,15.740350341796901,62.66135705602614
179,179,2014,1,8,11,30,633,59,1000,3.199225902557373,18.882592773437523,55.03854838959293
180,180,2014,1,8,12,30,712,62,1022,3.1284918785095215,20.795251464843773,50.51224570691135
181,181,2014,1,8,13,30,721,62,1023,3.1785898208618164,21.70153198242189,49.937106583292206
182,182,2014,1,8,14,30,459,281,298,3.2361247539520264,21.759759521484398,53.441551737923604
183,183,2014,1,8,15,30,403,199,411,3.1515817642211914,20.962792968750023,60.31552018300474
184,184,2014,1,8,16,30,151,139,35,2.9341411590576167,19.023431396484398,69.56101609321342
185,185,2014,1,8,17,30,45,45,0,2.7260456085205083,16.388024902343773,80.35461338776801
186,186,2014,1,8,18,30,0,0,0,2.8392410278320312,14.578454589843776,92.14381642502377
187,187,2014,1,8,19,30,0,0,0,3.3244924545288086,13.579248046875026,104.57635737999676
188,188,2014,1,8,20,30,0,0,0,4.005439281463623,12.398797607421901,117.42928524845428
189,189,2014,1,8,21,30,0,0,0,4.557849884033203,10.990136718750025,130.55070319172742
190,190,2014,1,8,22,30,0,0,0,4.7301974296569815,9.610437011718775,143.8195715298409
191,191,2014,1,8,23,30,0,0,0,4.5929598808288565,8.509393310546898,157.0837936894994
192,192,2014,1,9,0,30,0,0,0,4.2984938621521005,7.628930664062523,169.7675301918957
193,193,2014,1,9,1,30,0,0,0,3.93768310546875,6.864648437500023,172.712290926309
194,194,2014,1,9,2,30,0,0,0,3.4560332298278813,6.278100585937523,160.73701733380713
195,195,2014,1,9,3,30,0,0,0,2.8899855613708496,6.011590576171898,147.52526390405603
196,196,2014,1,9,4,30,0,0,0,2.390190601348877,6.105187988281273,134.2342622977443
197,197,2014,1,9,5,30,0,0,0,2.045403003692627,6.393151855468773,121.05431001175222
198,198,2014,1,9,6,30,0,0,0,1.791693925857544,6.856927490234398,108.10570914976488
199,199,2014,1,9,7,30,0,0,0,1.453107833862305,7.742974853515648,95.52726840903813
200,200,2014,1,9,8,30,90,26,561,1.1646647453308103,9.445703125000025,83.51628349314882
201,201,2014,1,9,9,30,296,44,830,1.0981088876724243,12.911706542968776,72.38307782843759
202,202,2014,1,9,10,30,483,54,934,1.466052532196045,17.046716308593773,62.613528403924754
